image_id,title,subject_use,source_owner,source_locator,provenance,rights_status,priority,notes,image_type
IMG01,"Kidd Block, circa 1910",Original Carleton Lodge occupied upper floor,Huntley Township Historical Society,Referenced through Carp Heritage Walk / heritage-tour materials,HTHS archive; Carp Heritage Walk,Permission required from HTHS,highest,Request highest-resolution scan; ideal hero for founding/Kidd Block page.,historical_photo
IMG02,"Kidd Street, circa 1910",Streetscape toward village core,Huntley Township Historical Society,https://www.carpheritagewalk.ca/history-of-carp,HTHS; used by Carp Heritage Walk with permission,Permission required from HTHS,high,Useful geographic context and then-and-now comparison.,historical_photo
IMG03,"St. Andrew's Presbyterian Church, Carp, 1876–1929",Present Lodge building before Masonic conversion,Library and Archives Canada,Identifier C-12167,LAC; provenance documented by Carp Heritage Walk,Check LAC item rights/reproduction terms,highest,Search/order by LAC identifier C-12167; obtain best available scan.,historical_photo
IMG04,"Carp Village, Autumn 1890",Village context before Lodge founding,Library and Archives Canada / Robert F.H. Bruce collection,Identifier PA-122498,LAC; provenance documented by Carp Heritage Walk,Check LAC item rights/reproduction terms,high,Excellent founding-era context image.,historical_photo
IMG05,"Orange Hall and Town Hall streetscape, circa 1900",Temporary post-fire Masonic context,Huntley Township Historical Society / Carp Heritage Walk,Carp Heritage Walk downtown historical tour,HTHS-provenance local-history image,Permission likely required,high,Use on fire/displacement page once exact image provenance confirmed.,historical_photo
IMG06,"Carp Drug Store / Kidd Block postcard or streetscape, c.1908",Business under original Lodge room,Huntley Township Historical Society / Carp Heritage Walk,Carp Heritage Walk historical-tour material,HTHS / local collection,Permission likely required,high,Potential close visual link to original Lodge location.,historical_photo
IMG07,"Carleton Lodge official visit photographs, 2019–20",Modern Lodge historical record,Ottawa District One,https://www.ottawadistrict1masons.ca/images/documents/District_1_History_2019_2020.pdf,Ottawa District history / district photographer,Request/confirm reuse permission,medium,Modern-history gallery rather than formative-era history.,historical_photo
IMG08,Le Havre furniture — modern documentation set,Surviving WWI furniture in Carp,Carleton Lodge No. 465,On-site photography required,Carleton Lodge,Lodge-controlled once photographed,highest,Photograph every major piece front/three-quarter/detail with scale and provenance notes.,modern_artifact_photo
IMG09,Le Havre setting maul,Historic maul associated with Captain Firebrace,Carleton Lodge No. 465,On-site photography required,Carleton Lodge,Lodge-controlled once photographed,highest,Dedicated artifact page; photograph all sides and inscriptions.,modern_artifact_photo
IMG10,1919 WWI memorial tablet,Tablet unveiled by Sir Sam Hughes,Carleton Lodge No. 465,On-site confirmation/photography required,Carleton Lodge,Lodge-controlled once photographed,high,Photograph and transcribe inscription.,modern_artifact_photo
IMG11,Original warrant / charter,Foundational Lodge document,Carleton Lodge No. 465,On-site archive confirmation required,Carleton Lodge,Lodge-controlled once photographed,highest,High-resolution archival scan if condition permits.,document_scan
IMG12,Le Havre Minute Book and Register,Wartime primary records,Carleton Lodge archives per 2010 district history,On-site archive confirmation required,Carleton Lodge,Lodge-controlled once confirmed/photographed,highest,Do not state as currently held until physically located; scan conservation-safely.,document_scan
IMG13,AI reconstruction: 1920 fire,Only if no authentic fire photograph is found,Carleton Lodge,To be generated from verified streetscape/building evidence,AI reconstruction,No historical-photo claim,low,Use only if archival photo search fails; label visibly as AI reconstruction.,ai_reconstruction
